Column1,Employee Code,Date,Time,Column5,Attendance Code,Column7,Column8
8 - SH,39,06/04/2026,8:00:00 am,1,0,1,0
8 - SH,39,06/04/2026,5:00:00 pm,1,1,1,0
10 - SH,38,06/04/2026,8:13:33 am,1,0,1,0
10 - SH,38,06/04/2026,5:05:33 pm,1,1,1,0
15 - SH,30,06/04/2026,1:10:33 pm,1,0,1,0
15 - SH,30,06/04/2026,5:15:33 pm,1,1,1,0
17 - SH,19,06/04/2026,8:01:33 am,1,0,1,0
17 - SH,19,06/04/2026,6:18:33 pm,1,1,1,0
17 - SH,19,06/04/2026,7:00:33 pm,1,4,1,0
17 - SH,19,06/04/2026,9:18:33 pm,1,5,1,0
9 - SW,87,06/07/2026,8:00:33 am,1,0,1,0
9 - SW,87,06/07/2026,5:05:33 pm,1,1,1,0
10 - SW,38,06/07/2026,8:06:33 am,1,0,1,0
10 - SW,38,06/07/2026,5:06:33 pm,1,1,1,0
16 - SW,87,06/07/2026,8:20:33 am,1,0,1,0
16 - SW,87,06/07/2026,5:00:33 pm,1,1,1,0
16 - SW,87,06/07/2026,5:20:33 pm,1,4,1,0
16 - SW,87,06/07/2026,7:30:33 pm,1,5,1,0
17 - SW,19,06/07/2026,12:16:33 pm,1,0,1,0
17 - SW,19,06/07/2026,6:20:33 pm,1,1,1,0
,50,06/05/2026,8:05:33 am,1,0,1,0
,50,06/05/2026,5:24:33 pm,1,1,1,0
,25,06/05/2026,8:14:33 am,1,0,1,0
,25,06/05/2026,5:00:33 pm,1,1,1,0
,56,06/05/2026,8:16:33 am,1,0,1,0
,56,06/05/2026,5:00:33 pm,1,1,1,0
,73,06/05/2026,8:05:33 am,1,0,1,0
,73,06/05/2026,5:00:33 pm,1,1,1,0
,86,06/05/2026,8:05:33 am,1,0,1,0
,86,06/05/2026,5:38:33 pm,1,1,1,0
,36,06/05/2026,8:00:33 am,1,0,1,0
,36,06/05/2026,5:05:33 pm,1,1,1,0
,39,06/05/2026,8:00:33 am,1,0,1,0
,39,06/05/2026,5:05:33 pm,1,1,1,0
,91,06/05/2026,8:00:33 am,1,0,1,0
,91,06/05/2026,5:05:33 pm,1,1,1,0
,38,06/05/2026,8:26:33 am,1,0,1,0
,38,06/05/2026,5:00:33 pm,1,1,1,0
,37,06/05/2026,8:46:33 am,1,0,1,0
,37,06/05/2026,5:16:33 pm,1,1,1,0
,47,06/05/2026,8:00:33 am,1,0,1,0
,47,06/05/2026,5:05:33 pm,1,1,1,0
,8,06/05/2026,8:00:33 am,1,0,1,0
,8,06/05/2026,4:05:33 pm,1,1,1,0
,25,06/05/2026,8:00:33 am,1,0,1,0
,25,06/05/2026,5:05:33 pm,1,1,1,0
,30,06/05/2026,8:10:33 am,1,0,1,0
,30,06/05/2026,5:15:33 pm,1,1,1,0
,87,06/05/2026,8:06:33 am,1,0,1,0
,87,06/05/2026,5:10:33 pm,1,1,1,0
,50,06/06/2026,8:05:33 am,1,0,1,0
,50,06/06/2026,5:24:33 pm,1,1,1,0
,25,06/06/2026,8:14:33 am,1,0,1,0
,25,06/06/2026,5:00:33 pm,1,1,1,0
,56,06/06/2026,8:16:33 am,1,0,1,0
,56,06/06/2026,5:00:33 pm,1,1,1,0
,73,06/06/2026,8:05:33 am,1,0,1,0
,73,06/06/2026,5:00:33 pm,1,1,1,0
,86,06/06/2026,8:05:33 am,1,0,1,0
,86,06/06/2026,5:38:33 pm,1,1,1,0
,36,06/06/2026,8:00:33 am,1,0,1,0
,36,06/06/2026,5:05:33 pm,1,1,1,0
,39,06/06/2026,8:00:33 am,1,0,1,0
,39,06/06/2026,5:05:33 pm,1,1,1,0
,91,06/06/2026,8:00:33 am,1,0,1,0
,91,06/06/2026,5:05:33 pm,1,1,1,0
,38,06/06/2026,8:26:33 am,1,0,1,0
,38,06/06/2026,5:00:33 pm,1,1,1,0
,37,06/06/2026,8:46:33 am,1,0,1,0
,37,06/06/2026,5:16:33 pm,1,1,1,0
,47,06/06/2026,8:00:33 am,1,0,1,0
,47,06/06/2026,5:05:33 pm,1,1,1,0
,8,06/06/2026,8:00:33 am,1,0,1,0
,8,06/06/2026,4:05:33 pm,1,1,1,0
,25,06/06/2026,8:00:33 am,1,0,1,0
,25,06/06/2026,5:05:33 pm,1,1,1,0
,30,06/06/2026,8:10:33 am,1,0,1,0
,30,06/06/2026,5:15:33 pm,1,1,1,0
,87,06/06/2026,8:06:33 am,1,0,1,0
,87,06/06/2026,5:10:33 pm,1,1,1,0
,19,06/06/2026,8:16:33 am,1,0,1,0
,19,06/06/2026,5:05:33 pm,1,1,1,0
